# Valheim item prefab names, one per line, in the format:
#     Prefab | Display Name | ItemType        (every column after the first is optional)
# A line with no '|' is a bare prefab name and stays valid -- that is what --items FILE accepts.
# An empty column means 'unknown', not an error; ItemType is unfilled pending a game dump.
# Every prefab carrying an ItemDrop component, with English display names, generated from
# Valheim 1.0.7 by JotunnDoc (valheim-modding.github.io/Jotunn, 2026-09-15). Includes some
# creature-attack/NPC prefabs, which are harmless here and keep hash lookup complete;
# extend with --items FILE for items added in later game versions.
Abomination_attack1 | Swing attack
MoldArmorMageHelmet | Mould: Headdress of the Caller
MoldArmorMageLegs | Mould: Trousers of the Caller
MoldArmormediumChest | Mould: Chestpiece of the Vanguard
MoldArmorMediumHelmet | Mould: Hood of the Vanguard
MoldArmorMediumLegs | Mould: Trousers of the Vanguard
MoldAtgeir | Mould: Nord Atgeir
MoldAxe | Mould: Nord Axe
MoldAxe2H | Mould: Nord Greataxe
MoldBow | Mould: Nord Bow
MoldCrossbow | Mould: Nord Crossbow
MoldFistweapon | Mould: Nord Knucklechains
MoldKeys | Mould: Intricate Key
MoldKnife | Mould: Nord Dagger
MoldMace | Mould: Nord Mace
MoldMace2H | Mould: Nord Sledge
MoldShieldBuckler | Mould: Nord Buckler
MoldShieldRound | Mould: Nord Shield
MoldShieldTower | Mould: Nord Greatshield
MoldSmallParts | [item_mold_smallparts]
MoldSpear | Mould: Nord Spear
MoldStafffrostorbs | Mould: Northern Vengeance
MoldStaffOrbofAhri | Mould: Echo Spike
MoldStaffspiritcaller | Mould: Spirit Caller
MoldStaffthunderblood | Mould: Lightning Strike
MoldSword | Mould: Nord Sword
MoldSword2H | Mould: Nord Greatsword
MoleClaws | Long Claws
MoltenCore | Molten Core
MooseHide | Moose Hide
MooseKebab | Meat In Bread
MooseMeat | Moose Meat
MooseSinew | Moose Sinew
MorgenHeart | Morgen Heart
MorgenSinew | Morgen Sinew
Mushroom | Mushroom
MushroomBlue | Blue Mushroom
MushroomBzerker | Toadstool
MushroomJotunPuffs | Jotun Puffs
MushroomMagecap | Magecap
MushroomOmelette | Mushroom Omelette
MushroomSmokePuff | Smoke Puff
MushroomYellow | Yellow Mushroom
NeckTail | Neck Tail
NeckTailGrilled | Grilled Neck Tail
Needle | Needle
NornThread | Nornathread
Oat | Oats
OatFlour | Oat Flour
OatmealLingonberryJam | Oatmeal
OatMilk | Oat Milk
OatSeeds | Oat Seeds
Obsidian | Obsidian
Onion | Onion
OnionSeeds | Onion Seeds
OnionSoup | Onion Soup
Ooze | Ooze
OozeMork | Dead Pulp
OrbFrostFire | Frostfire Essence
OrbThunderBlood | Thunderblood Essence
OvenPancake | Oven Pancake
OvenPancakeUncooked | Oven Pancake Batter
Pancakes | Pancakes
PickaxeAntler | Antler Pickaxe
PickaxeBlackMetal | Black Metal Pickaxe
PickaxeBronze | Bronze Pickaxe
PickaxeIron | Iron Pickaxe
PickaxeStone | Stone Pickaxe
PineCone | Pine Cone
PiquantPie | Piquant Pie
PiquantPieUncooked | Uncooked Piquant Pie
PlayerUnarmed | Unarmed
Pot_Shard_Green | Pot Shard
Pot_Shard_Red | [item_pot_shard_red]
Poteitr | Poteitr
PoteitrSeeds | Seed Poteitr
PowderedDragonEgg | Powdered Dragon Eggshells
ProustitePowder | Proustite Powder
Pukeberries | Bukeperries
PulledBear | Pulled Bear
PungentPebbles | Pungent Pebbles
QueenBee | Queen Bee
QueenDrop | Majestic Carapace
QueensJam | Queen's Jam
Raspberry | Raspberries
RawMeat | Boar Meat
Resin | Resin
RoastedCrustPie | Roasted Crust Pie
RoastedCrustPieUncooked | Uncooked Roasted Crust Pie
Root | Root
RottenMeat | Rotten Meat
RoundLog | Corewood
RoyalJelly | Royal Jelly
Ruby | Ruby
SaddleAsksvin | Asksvin Saddle
SaddleLox | Lox Saddle
SaddleMoose | Moose Saddle
Salad | Salad
Sap | Sap
Sausages | Sausages
ScaleHide | Scale Hide
ScorchingMedley | Scorching Medley
Scythe | Scythe
ScytheHandle | Scythe Handle
SealBlubber | Seal Blubber
SealHide | Seal Pelt
SealSoup | Seal Meat Soup
SeekerAspic | Seeker Aspic
SeekerBrute_Taunt | Brute taunt
SeekerQueen_Call | Brute taunt
SeekerQueen_Teleport | Brute taunt
SerpentMeat | Serpent Meat
SerpentMeatCooked | Cooked Serpent Meat
SerpentScale | Serpent Scale
SerpentStew | Serpent Stew
SharpeningStone | Sharpening Stone
ShieldBanded | Banded Shield
ShieldBlackmetal | Black Metal Shield
ShieldBlackmetalTower | Black Metal Tower Shield
ShieldBoneTower | Bone Tower Shield
ShieldBronzeBuckler | Bronze Buckler
ShieldBucklerGoldUncooked | Cast: Nord Buckler
ShieldCarapace | Carapace Shield
ShieldCarapaceBuckler | Carapace Buckler
ShieldCore | Shield Core
ShieldFlametal | Flametal Shield
ShieldFlametalTower | Flametal Tower Shield
ShieldGold | Nord Shield
ShieldGoldBuckler | Nord Buckler
ShieldGoldTower | Nord Greatshield
ShieldIronBuckler | Iron Buckler
ShieldIronSquare | Iron Shield
ShieldIronTower | Iron Tower Shield
ShieldKnight | Knight shield UNUSED
ShieldRoots | Shield of Roots
ShieldRoundGoldUncooked | Cast: Nord Shield
ShieldSerpentscale | Serpent Scale Shield
ShieldSilver | Silver Shield
ShieldTowerGoldUncooked | Cast: Nord Greatshield
ShieldWood | Wood Shield
ShieldWoodTower | Wood Tower Shield
ShocklateSmoothie | Muckshake
Shovel | Snow Shovel
Silver | Silver
SilverNecklace | Silver Necklace
SilverOre | Silver Ore
SizzlingBerryBroth | Sizzling Berry Broth
skeleton_bow | Bow
skeleton_bow2 | Bow
skeleton_bow_meadows | Bow
skeleton_bow_mountains | Bow
skeleton_bow_swamps | Bow
skeleton_hildir_firenova | Fire Skeleton Sword
skeleton_mace | Dragur axe
skeleton_mace_DeepNorth | Dragur axe
skeleton_sword | Dragur axe
skeleton_sword2 | Dragur axe
skeleton_sword_hildir | Fire Skeleton Sword
skeleton_sword_meadows | Dragur axe
skeleton_sword_mountains | Dragur axe
skeleton_sword_swamps | Dragur axe
SledgeCheat | Cheat sledge
SledgeDemolisher | Demolisher
SledgeGold | Nord Sledge
SledgeGold_BloodLightning | Thunderblood Sledge
SledgeGold_FrostFire | Frostfire Sledge
SledgeGoldUncooked | Cast: Nord Sledge
SledgeIron | Iron Sledge
SledgeStagbreaker | Stagbreaker
SledgeWood | Wooden Sledge
SmallPartsGoldUncooked | [item_smallparts_gold_uncooked]
SmokedFish | Smoked Fish
SmokedMooseMeat | Smoked Moose Meat
Snowball | Snowball
SnowballBig | Big Snowball
Softtissue | Soft Tissue
SP_ArmorBronzeChest | Bronze Plate Tunic
SP_ArmorBronzeLegs | Bronze Plate Leggings
SP_ArmorDress1 | Plain Brown Dress
SP_ArmorFenringChest | Fenris Coat
SP_ArmorFenringLegs | Fenris Leggings
SP_ArmorLeatherLegs | Leather Trousers
SP_ArmorMageChest | Eitr-weave Robe
SP_ArmorMageChest_Ashlands | Robes of Embla
SP_ArmorMageLegs | Eitr-weave Trousers
SP_ArmorMageLegs_Ashlands | Trousers of Embla
SP_ArmorPaddedCuirass | Padded Cuirass
SP_ArmorPaddedGreaves | Padded Greaves
SP_ArmorTrollLeatherChest | Troll Leather Tunic
SP_ArmorTrollLeatherLegs | Troll Leather Trousers
SP_ArmorTunic5 | Red Tunic with Cape
SP_AxeBronze | Bronze Axe
SP_BattleaxeCrystal | Crystal Battleaxe
SP_BowDraugrFang | Draugr Fang
SP_CapeLinen | Linen Cape
SP_CapeTrollHide | Troll Hide Cape
SP_CapeWolf | Wolf Fur Cape
SP_HelmetBronze | Bronze Helmet
SP_KnifeSilver | Silver Knife
SP_KnifeSkollAndHati | Skoll and Hati
SP_ShieldBlackmetalTower | Black Metal Tower Shield
SP_StaffFireball | Staff of Embers
SP_StaffLightning | Dundr
SP_SwordBlackmetal | Black Metal Sword
Sparkler | Sparkler
SparklingShroomshake | Sparkling Shroomshake
SpearBronze | Bronze Spear
SpearCarapace | Carapace Spear
SpearChitin | Abyssal Harpoon
SpearElderbark | Ancient Bark Spear
SpearFlint | Flint Spear
SpearGold | Nord Spear
SpearGold_BloodLightning | Thunderblood Spear
SpearGold_FrostFire | Frostfire Spear
SpearGoldUncooked | Cast: Nord Spear
SpearSplitner | Splitnir
SpearSplitner_Blood | Splitnir the Bleeding
SpearSplitner_Lightning | Splitnir the Storming
SpearSplitner_Nature | Splitnir the Primal
SpearWolfFang | Fang Spear
SpearWood | Wooden Spear
SpiceAshlands | Fiery Spice Powder
SpiceDeepNorth | Seasoning of the Gourd
SpiceForests | Woodland Herb Blend
SpiceMistlands | Herbs of the Hidden Hills
SpiceMountains | Mountain Peak Pepper Powder
SpiceOceans | Seafarer's Herbs
SpicePlains | Grasslands Herbalist Harvest
SpicyMarmalade | Spicy Marmalade
spiritbjorn_bite | bjorn bite
spiritbjorn_claws | bjorn bite
spiritbjorn_swipe_combo | bjorn bite
spiritbjorn_swipe_l | bjorn bite
spiritbjorn_swipe_r | bjorn bite
staff_greenroots_tentaroot_attack | Dragur axe
StaffClusterbomb | Staff of Fracturing
StaffFireball | Staff of Embers
StaffFrostOrbs | Northern Vengeance
StaffFrostOrbsUncooked | Cast: Northern Vengeance
StaffGreenRoots | Staff of the Wild
StaffIceShards | Staff of Frost
StaffLightning | Dundr
StaffOrbofAhri | Echo Spike
StaffOrbofAhriUncooked | Cast: Echo Spike
StaffRedTroll | Trollstav
StaffShield | Staff of Protection
StaffSkeleton | Dead Raiser
StaffSpiritCaller | Spirit Caller
StaffSpiritCallerUncooked | Cast: Spirit Caller
StaffThunderBlood | Lightning Strike
StaffThunderbloodUncooked | Cast: Lightning Strike
StaminaUpgrade_Greydwarf | Stamina Greydwarf
StaminaUpgrade_Troll | Stamina Troll
StaminaUpgrade_Wraith | Stamina Wraith
Stone | Stone
stonegolem_attack1_spike | Spike attack
StoneGolem_clubs
StoneGolem_hat
StoneGolem_spikes
StoneRock | Rock
SulfurStone | Sulfur
SurtlingCore | Surtling Core
Sword2h_JotunWarrior | Club
SwordBlackmetal | Black Metal Sword
SwordBronze | Bronze Sword
SwordCheat | Cheat sword
SwordDyrnwyn | Dyrnwyn
SwordGold | Nord Sword
SwordGold_BloodLightning | Thunderblood Sword
SwordGold_FrostFire | Frostfire Sword
SwordGoldUncooked | Cast: Nord Sword
SwordIron | Iron Sword
SwordIronFire | Dyrnwyn
SwordMistwalker | Mistwalker
SwordNiedhogg | Nidhgg
SwordNiedhoggBlood | Nidhgg the Bleeding
SwordNiedhoggLightning | Nidhgg the Thundering
SwordNiedhoggNature | Nidhgg the Primal
SwordSilver | Silver Sword
SwordWood | Wooden Sword
Tankard | Tankard
Tankard_dvergr | Dvergr Tankard
TankardAnniversary | Horn of Celebration
TankardOdin | Mead Horn of Oden
Tar | Tar
tendril_attack | Dragur axe
tentaroot_attack | Dragur axe
Thistle | Thistle
THSwordGold | Nord Greatsword
THSwordGold_BloodLightning | Thunderblood Greatsword
THSwordGold_FrostFire | Frostfire Greatsword
THSwordGoldUncooked | Cast: Nord Greatsword
THSwordKrom | Krom
THSwordSlayer | Slayer
THSwordSlayerBlood | Brutal Slayer
THSwordSlayerLightning | Scourging Slayer
THSwordSlayerNature | Primal Slayer
THSwordWood | Wooden Greatsword
Thunderstone | Thunder Stone
Tin | Tin
TinOre | Tin Ore
Torch | Torch
TorchMist | [item_torchmist]
TrinketBlackDamageHealth | Bracelets of the Brave
TrinketBlackStamina | Evasion Mantle
TrinketBloodGoldHealth | Neckstabber
TrinketBloodGoldStamina | Witch Crown
TrinketBronzeHealth | Heart of the Forest
TrinketBronzeStamina | Bronze Pendant
TrinketCarapaceEitr | Pulsating Earrings
TrinketChitinSwim | Fins of Destiny
TrinketFlametalEitr | Jrmundling
TrinketFlametalStaminaHealth | Brimstone
TrinketIronHealth | Iron Brooch
TrinketIronStamina | Nimble Anklet
TrinketScaleStaminaDamage | Resounding Shackle
TrinketSilverDamage | Wolf Sight
TrinketSilverResist | Crystal Heart
troll_log_swing_h | LOG
troll_log_swing_v | LOG
troll_summoned_log_swing_h | LOG
troll_summoned_log_swing_v | LOG
TrollHide | Troll Hide
TrophyAbomination | Abomination Trophy
TrophyAsksvin | Asksvin Trophy
TrophyBarka | Barka Trophy
TrophyBjorn | Bear Trophy
TrophyBjornUndead | Vile Trophy
TrophyBlob | Blob Trophy
TrophyBlob_Frost | Frost Blob Trophy
TrophyBlob_Lava | Lava Blob Trophy
TrophyBlob_Morkhalla | Pulp Trophy
TrophyBoar | Boar Trophy
TrophyBonemass | Bonemass Trophy
TrophyBonemawSerpent | Bonemaw Trophy
TrophyCharredArcher | Marksman Trophy
TrophyCharredMage | Warlock Trophy
TrophyCharredMelee | Warrior Trophy
TrophyCultist | Cultist Trophy
TrophyCultist_Hildir | Geirrhafa Trophy
TrophyDeathsquito | Deathsquito Trophy
TrophyDeer | Deer Trophy
TrophyDeerWhite | [item_trophy_deer_white]
TrophyDragonQueen | Moder Trophy
TrophyDraugr | Draugr Trophy
TrophyDraugrElite | Draugr Elite Trophy
TrophyDraugrFem | Draugr Trophy
TrophyDvergr | Dvergr Trophy
TrophyEikthyr | Eikthyr Trophy
TrophyElaking | Elaking Trophy
TrophyFader | Fader Trophy
TrophyFallenValkyrie | Fallen Valkyrie Trophy
TrophyFenring | Fenring Trophy
TrophyForestTroll | Troll Trophy
TrophyFrostTroll | Troll Trophy
TrophyGhost | Ghost Trophy
TrophyGjall | Gjall Trophy
TrophyGoblin | Fuling Trophy
TrophyGoblinBrute | Fuling Berserker Trophy
TrophyGoblinBruteBrosBrute | Thungr Trophy
TrophyGoblinBruteBrosShaman | Zil Trophy
TrophyGoblinKing | Yagluth Trophy
TrophyGoblinShaman | Fuling Shaman Trophy
TrophyGreydwarf | Greydwarf Trophy
TrophyGreydwarfBrute | Greydwarf Brute Trophy
TrophyGreydwarfShaman | Greydwarf Shaman Trophy
TrophyGrowth | Growth Trophy
TrophyHare | Hare Trophy
TrophyHatchling | Drake Trophy
TrophyJotunWarrior | Krigen Trophy
TrophyJotunWitch | Hexen Trophy
TrophyKvastur | Kvastur
TrophyLeech | Leech Trophy
TrophyLox | Lox Trophy
TrophyMole | Eyeless One Trophy
TrophyMoose | Moose Trophy
TrophyMorgen | Morgen Trophy
TrophyNeck | Neck Trophy
TrophySeal | Seal Trophy
TrophySeeker | Seeker Trophy
TrophySeekerBrute | Seeker Soldier Trophy
TrophySeekerQueen | The Queen Trophy
TrophySerpent | Serpent Trophy
TrophySGolem | Stone Golem Trophy
TrophySkeleton | Skeleton Trophy
TrophySkeletonHildir | Brenna Trophy
TrophySkeletonPoison | Rancid Remains Trophy
TrophySurtling | Surtling Trophy
TrophyTheElder | The Elder Trophy
TrophyTick | Tick Trophy
TrophyUlv | Ulv Trophy
TrophyVolture | Volture Trophy
TrophyWolf | Wolf Trophy
TrophyWraith | Wraith Trophy
TrophyWrithan | Writhan Trophy
Turnip | Turnip
TurnipSeeds | Turnip Seeds
TurnipStew | Turnip Stew
TurretBolt | Black Metal Missile
TurretBoltBloodgold | Bloodgold Missile
TurretBoltBone | [item_turretboltbone]
TurretBoltFlametal | Flametal Missile
TurretBoltWood | Wooden Missile
Ulv_attack1_bite | Bite Attack
Ulv_attack2_slash | Slash Attack
unbjorn_bite | bjorn bite
unbjorn_claws | bjorn bite
unbjorn_swipe_combo | bjorn bite
unbjorn_swipe_l | bjorn bite
unbjorn_swipe_r | bjorn bite
UndeadBjornRibcage | Vile Ribcage
Upgrader0Armor | Wooden Protection Idol
Upgrader0Weapon | Wooden Battle Idol
Upgrader1Armor | Bronze Protection Idol
Upgrader1Weapon | Bronze Battle Idol
Upgrader2Armor | Iron Protection Idol
Upgrader2Weapon | Iron Battle Idol
Upgrader3Armor | Silver Protection Idol
Upgrader3Weapon | Silver Battle Idol
Upgrader4Armor | Black Metal Protection Idol
Upgrader4Weapon | Black Metal Battle Idol
Upgrader5Armor | Black Marble Protection Idol
Upgrader5Weapon | Black Marble Battle Idol
Upgrader6Armor | Flametal Protection Idol
Upgrader6Weapon | Flametal Battle Idol
Upgrader7Armor | Bloodgold Protection Idol
Upgrader7Weapon | Bloodgold Battle Idol
VegvisirShard_Bonemass | Yagluth thing
VikingCupcake | Frosted Sweetbread
VikingCupcakeUncooked | Unbaked Sweetbread
Vineberry | Vineberry Cluster
VineberrySeeds | Vineberry Seeds
VineGreenSeeds | Ivy Seeds
Voidplasm | Ectoplasm
volture_talons | Volture Talons
VoltureEgg | Volture Egg
VoltureMeat | Volture Meat
Wishbone | Wishbone
Wisp | Wisp
WitheredBone | Withered Bone
WolfClaw | Fenris Claw
WolfFang | Wolf Fang
WolfHairBundle | Fenris Hair
WolfJerky | Wolf Jerky
WolfMeat | Wolf Meat
WolfMeatSkewer | Wolf Skewer
WolfPelt | Wolf Pelt
Wood | Wood
wraith_melee | Wraith melee
writhan_bite | writhan bite
WrithanRoots | Writhan Roots
YagluthDrop | Torn Spirit
YggdrasilPorridge | Yggdrasil Porridge
YggdrasilWood | Yggdrasil Wood
YmirRemains | Ymir Flesh
